epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5167,1.10694,3.50473,1.80067,0.00333,1,0.86074,0.61028,0.68463,3.21655,1.66093,0.00012,0.00012,0.00012
2,142.801,0.58213,2.66503,1.46718,0.00333,1,0.95744,0.70104,0.77575,3.24246,2.0827,0.00023426,0.00023426,0.00023426
3,203.794,0.46496,2.00314,1.3316,0.00333,1,0.96824,0.69663,0.82827,3.17569,2.4068,0.0003208,0.0003208,0.0003208
4,264.245,0.43894,1.74074,1.29057,0.00333,1,0.995,0.69298,0.78957,2.98131,2.57073,0.00037962,0.00037962,0.00037962
5,324.121,0.44089,1.50841,1.28054,1,0.95524,0.995,0.75635,0.77423,2.74257,2.12002,0.00041072,0.00041072,0.00041072
6,384.229,0.39115,1.39532,1.17169,1,0.96366,0.995,0.69979,0.92964,2.75413,2.54091,0.0004141,0.0004141,0.0004141
7,444.418,0.37759,1.26437,1.22814,0.99026,1,0.995,0.70128,1.07386,2.60942,2.81525,0.00038976,0.00038976,0.00038976
8,504.113,0.41276,1.23414,1.24324,1,0.98838,0.995,0.77991,0.80931,2.49223,1.99738,0.0003377,0.0003377,0.0003377
9,563.928,0.38881,1.24716,1.22404,1,0.98674,0.995,0.84678,0.63187,2.32609,1.466,0.00025792,0.00025792,0.00025792
10,623.725,0.33812,1.1446,1.17198,1,0.9901,0.995,0.86443,0.61355,2.26015,1.37451,0.00015042,0.00015042,0.00015042
